roi_index	roi_name	n	w_non	mu_non	sd_non	mu_path	sd_path	L_nonQ	G_pathQ25	T_start	n_nonpath	n_path
66	tau.SUVR.Schaefer200.ROI.idx.66	267	0.9435221650535635	1.0412935006635546	0.12608523501110658	1.170835243239459	0.4872521661619407	1.334611619079583	0.842188651402392	1.334611619079583	260	7
67	tau.SUVR.Schaefer200.ROI.idx.67	267	0.7337141721480841	1.2026248871496918	0.10714678390775037	1.8878219191435082	0.6266227246351375	1.4518855801038009	1.465171314137166	1.465171314137166	212	55
68	tau.SUVR.Schaefer200.ROI.idx.68	267	0.7985992089834608	1.1011168655793067	0.11596825036117965	1.6633103157633728	0.5999305608093168	1.3708993582632736	1.2586633016681015	1.3708993582632736	226	41
69	tau.SUVR.Schaefer200.ROI.idx.69	267	0.8595040020009068	1.027149445084985	0.12187950011537982	1.529425555257994	0.4779667915624958	1.3106835610675598	1.2070418534149836	1.3106835610675598	236	31
70	tau.SUVR.Schaefer200.ROI.idx.70	267	0.888147360176355	1.1149266280560486	0.10844932943021109	1.4419282412042937	0.430536981257565	1.3672174950171754	1.1515354602657035	1.3672174950171754	245	22
71	tau.SUVR.Schaefer200.ROI.idx.71	267	0.9247520363287599	1.1354656393910338	0.10835606526822447	1.7470951302283373	0.4551220117863548	1.387539541467199	1.4401199981898207	1.4401199981898207	251	16
72	tau.SUVR.Schaefer200.ROI.idx.72	267	0.831593273125272	1.1258318082712968	0.09509596072911279	1.6269706854214159	0.4951913161083378	1.3470580943433401	1.2929692183202341	1.3470580943433401	229	38
73	tau.SUVR.Schaefer200.ROI.idx.73	267	0.8701843452991368	1.0881899975820868	0.11708799981275601	1.6087746683347932	0.5476898740677593	1.3605774170221867	1.2393634619899068	1.3605774170221867	239	28
74	tau.SUVR.Schaefer200.ROI.idx.74	267	0.8353108234068712	1.0708690047380216	0.11411447972980217	1.422439826258141	0.41940822642768466	1.3363389820547242	1.1395532763847502	1.3363389820547242	239	28
75	tau.SUVR.Schaefer200.ROI.idx.75	267	0.8033697137671646	1.1522263178157743	0.11181870984926102	1.7140684552473138	0.590881657456662	1.412355535751593	1.3155248337139231	1.412355535751593	227	40
76	tau.SUVR.Schaefer200.ROI.idx.76	267	0.8327962734756488	1.1015558874016445	0.09832932530426486	1.5170547102089282	0.4009885894898679	1.3303041042790917	1.246592016652428	1.3303041042790917	231	36
77	tau.SUVR.Schaefer200.ROI.idx.77	267	0.8414523025749089	1.1951421117841527	0.09936238385752248	1.7949322249966069	0.5304662946565628	1.4262935822307306	1.4371381464262607	1.4371381464262607	230	37
78	tau.SUVR.Schaefer200.ROI.idx.78	267	0.8182955743724031	1.149885102237994	0.10973834249352575	1.71535416403834	0.4647928226312077	1.4051746619985739	1.4018561692088851	1.4051746619985739	225	42
79	tau.SUVR.Schaefer200.ROI.idx.79	267	0.8513737213791223	1.1676442664100797	0.1053984984316644	1.749897495016332	0.5079633232503973	1.4128378391636796	1.4072814400084	1.4128378391636796	230	37
80	tau.SUVR.Schaefer200.ROI.idx.80	267	0.9396539336461674	1.1579153884988607	0.11670470154702266	1.5314160075259615	0.6095688677215477	1.4294111228333484	1.1202680542091463	1.4294111228333484	253	14
81	tau.SUVR.Schaefer200.ROI.idx.81	267	0.9541504065880434	1.0932549331982244	0.11420383488449976	1.6722799816335852	0.37234156159072124	1.3589327816890924	1.4211394147686405	1.4211394147686405	258	9
82	tau.SUVR.Schaefer200.ROI.idx.82	267	0.9597410422957778	1.1481473025610425	0.11365312112234074	1.7120407164304294	0.4692385648092676	1.4125439992621067	1.3955441140698586	1.4125439992621067	258	9
83	tau.SUVR.Schaefer200.ROI.idx.83	267	0.8391072360064951	1.2190072231543088	0.1363214842200005	1.7639783780711205	0.522237293081195	1.5361384181555997	1.4117346767177072	1.5361384181555997	233	34
84	tau.SUVR.Schaefer200.ROI.idx.84	267	0.7230195703539158	1.2227946077295275	0.10539249881157624	1.8263289087827173	0.5676237122310306	1.4679742232796902	1.4434725329146367	1.4679742232796902	209	58
85	tau.SUVR.Schaefer200.ROI.idx.85	267	0.8033609761436437	1.1881724801293323	0.11034482018006907	1.7029400884327361	0.526147591895659	1.4448729179666553	1.3480589306087631	1.4448729179666553	226	41
86	tau.SUVR.Schaefer200.ROI.idx.86	267	0.7598719742099984	1.2201994701300558	0.10196611482712896	1.7794164773258758	0.551154174577262	1.457408124582352	1.4076686357957306	1.457408124582352	215	52
87	tau.SUVR.Schaefer200.ROI.idx.87	267	0.8409827508675973	1.1500156133612276	0.1252035527607962	1.8415650041263203	0.6287951097509625	1.4412826321486667	1.4174491476258757	1.4412826321486667	230	37
88	tau.SUVR.Schaefer200.ROI.idx.88	267	0.9517768706755575	1.0723663129816827	0.11061638079850643	1.620248185521396	0.37386866536429886	1.3296984952863808	1.3680776028136874	1.3680776028136874	257	10
89	tau.SUVR.Schaefer200.ROI.idx.89	267	0.9221596790102226	0.9879581353425809	0.11527765070760601	1.519728495268078	0.37264304375761154	1.2561340529906433	1.268384581771699	1.268384581771699	248	19
90	tau.SUVR.Schaefer200.ROI.idx.90	267	0.8644012428947165	1.1009311035964735	0.1053416558156309	1.4187280167207157	0.394855808393657	1.345992440651109	1.152401821153806	1.345992440651109	241	26
91	tau.SUVR.Schaefer200.ROI.idx.91	267	0.866663469902222	0.9602560537998264	0.11197689980387886	1.4080383974706052	0.43843023911220536	1.2207532766002647	1.1123216950134054	1.2207532766002647	240	27
92	tau.SUVR.Schaefer200.ROI.idx.92	267	0.9199509390866829	1.147064476038382	0.12004947686919179	1.5037551366199977	0.3285460980157701	1.426341321332742	1.2821541610414435	1.426341321332742	250	17
93	tau.SUVR.Schaefer200.ROI.idx.93	267	0.8472228528462452	1.2278420379925605	0.10657706050138502	1.5032640333644482	0.3391169028905964	1.4757773561114802	1.274533158246501	1.4757773561114802	240	27
94	tau.SUVR.Schaefer200.ROI.idx.94	267	0.946651646088066	1.1552896760784293	0.11300715472122713	1.5964334457169023	0.31612823679699303	1.418183630215561	1.3832081902497706	1.418183630215561	252	15
95	tau.SUVR.Schaefer200.ROI.idx.95	267	0.9401504459046505	1.0913406652525357	0.10282769472373424	1.645936167932978	0.41991999931069374	1.330553654265616	1.3627044324955695	1.3627044324955695	254	13
96	tau.SUVR.Schaefer200.ROI.idx.96	267	0.7878234623316718	1.1247194410923256	0.11596125391467392	1.7024979605066828	0.6679303382816398	1.394485657607838	1.251985793490715	1.394485657607838	223	44
97	tau.SUVR.Schaefer200.ROI.idx.97	267	0.9073393209035255	1.0923358444571343	0.10309602149983277	1.6334236528052253	0.4673754509308763	1.3321730548953397	1.3181837016590774	1.3321730548953397	243	24
98	tau.SUVR.Schaefer200.ROI.idx.98	267	0.7046024436601933	1.1246618138114577	0.10364188931637852	1.4584999349760224	0.2753120072464572	1.3657689026841915	1.2728048079823775	1.3657689026841915	215	52
99	tau.SUVR.Schaefer200.ROI.idx.99	267	0.8107015011132848	1.1679048499824511	0.09787653880601925	1.7752706127130318	0.5835180332539491	1.3955997279523105	1.3816936802286666	1.3955997279523105	224	43
100	tau.SUVR.Schaefer200.ROI.idx.100	267	0.7875981367104951	1.2056240352838477	0.09375563847136162	1.8305468309091868	0.6173872157869883	1.4237322655210418	1.4141254819587665	1.4237322655210418	221	46
101	tau.SUVR.Schaefer200.ROI.idx.101	267	0.7456957661098816	1.1822735093454932	0.08486220806478982	1.6927030498994606	0.5361499565743316	1.379692526663429	1.3310753996219997	1.379692526663429	210	57
102	tau.SUVR.Schaefer200.ROI.idx.102	267	0.8413088859137303	1.1552173185829382	0.12914819712327705	1.9529929886246533	0.6520904480771862	1.4556609523968818	1.5131646651958208	1.5131646651958208	235	32
103	tau.SUVR.Schaefer200.ROI.idx.103	267	0.8674910229627615	1.0881184042588377	0.08420545159691874	1.4240743315586724	0.405867183488928	1.284009577563979	1.150321076354438	1.284009577563979	241	26
104	tau.SUVR.Schaefer200.ROI.idx.104	267	0.809505304827226	1.0760973522256077	0.10694440007428074	1.6056766584730298	0.6154029494298825	1.3248872299789844	1.1905936768421364	1.3248872299789844	226	41
105	tau.SUVR.Schaefer200.ROI.idx.105	267	0.7835901778608546	1.150122728044699	0.12067287261862815	1.7214297359817679	0.5847887225624075	1.4308498087154464	1.3269957365831637	1.4308498087154464	219	48
106	tau.SUVR.Schaefer200.ROI.idx.106	267	0.79287040319802	1.087429969527119	0.10517067036260047	1.6001723033103117	0.5949552872702385	1.3320935349366052	1.1988810602215705	1.3320935349366052	221	46
107	tau.SUVR.Schaefer200.ROI.idx.107	267	0.9537857886967742	1.1245612794753732	0.11021855598166191	1.8592314751160124	0.5384822718928698	1.3809679828631645	1.496030702061972	1.496030702061972	258	9
108	tau.SUVR.Schaefer200.ROI.idx.108	267	0.936147264015892	1.0592557957779773	0.11028782731967186	1.5889978201254091	0.382290610101356	1.31582364839568	1.3311467220158377	1.3311467220158377	253	14
109	tau.SUVR.Schaefer200.ROI.idx.109	267	0.9179828602415059	1.11272116416051	0.08501527240920517	1.4510193740459867	0.4061758162039881	1.3104962623906677	1.177057949238869	1.3104962623906677	249	18
110	tau.SUVR.Schaefer200.ROI.idx.110	267	0.9270306437877699	1.0932821167219824	0.09623943429187778	1.522551372635995	0.4901377369958002	1.3171685200857859	1.1919584928480247	1.3171685200857859	251	16
111	tau.SUVR.Schaefer200.ROI.idx.111	267	0.9237869957847606	1.1117498716206042	0.09992867893478846	1.7478629787563063	0.541128554648535	1.3442187414162596	1.3828773151074492	1.3828773151074492	248	19
112	tau.SUVR.Schaefer200.ROI.idx.112	267	0.9067362434285594	1.0254826404300919	0.14708065840560808	1.5546064178208394	0.6181420410892352	1.3676434174245062	1.137675946940865	1.3676434174245062	248	19
113	tau.SUVR.Schaefer200.ROI.idx.113	267	0.9296148339194626	0.9374760447446061	0.10262337954440874	1.4473934593325208	0.3935936874157903	1.176213725574628	1.1819185514286898	1.1819185514286898	250	17
114	tau.SUVR.Schaefer200.ROI.idx.114	267	0.9594248063825463	0.9581217623305273	0.0906721641792406	1.424005707869569	0.29864824568641674	1.169056758703586	1.2225705272400396	1.2225705272400396	258	9
115	tau.SUVR.Schaefer200.ROI.idx.115	267	0.9342402581581162	1.0762590035934168	0.10948929922776506	1.4575155714191836	0.4002088397141926	1.33096920208215	1.1875788110940941	1.33096920208215	253	14
