roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
189	tau.SUVR.Schaefer200.ROI.idx.189	1	1.0734175957007297	0.09501312042983538	1.4891732396111625	0.3487558979037245
190	tau.SUVR.Schaefer200.ROI.idx.190	1	1.1737140102847115	0.11138387376738515	1.843374366399403	0.5539286056833223
191	tau.SUVR.Schaefer200.ROI.idx.191	1	1.205272324850069	0.13228699908411526	1.7949228462913955	0.5051262822416798
192	tau.SUVR.Schaefer200.ROI.idx.192	1	0.9854029900518791	0.10092263918186416	1.4217839736525604	0.3468070944325924
193	tau.SUVR.Schaefer200.ROI.idx.193	1	1.124178228021908	0.11252978184108174	1.5971144341780912	0.36725195784010484
194	tau.SUVR.Schaefer200.ROI.idx.194	1	1.1641863196510567	0.126041092738782	1.8112010019211897	0.5180890958682725
195	tau.SUVR.Schaefer200.ROI.idx.195	1	1.0888880972031152	0.08785056915264881	1.494459099967627	0.43206706154247493
196	tau.SUVR.Schaefer200.ROI.idx.196	1	1.1526461870052966	0.09514696675951669	1.5812049021470573	0.3652301592700853
197	tau.SUVR.Schaefer200.ROI.idx.197	1	1.1806877182124798	0.11134790128420974	1.7146446497967793	0.4920504568266373
198	tau.SUVR.Schaefer200.ROI.idx.198	1	1.2270536680182358	0.1150000598680339	1.9171075520708172	0.4958134935236683
199	tau.SUVR.Schaefer200.ROI.idx.199	1	1.1870509531955846	0.10743421360930847	1.9183932696251966	0.5341283660726536
200	tau.SUVR.Schaefer200.ROI.idx.200	1	1.1539274013003806	0.11103857030080111	1.868448597812403	0.47770415403875904
