roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
120	tau.SUVR.Schaefer200.ROI.idx.120	1	0.9701019131211369	0.09064072581765946	1.3579993358206652	0.43781674044139873
121	tau.SUVR.Schaefer200.ROI.idx.121	1	0.9505620011768191	0.10328943008842009	1.1921862307065398	0.32044040456996775
122	tau.SUVR.Schaefer200.ROI.idx.122	1	0.9176221027514627	0.10682296286641217	1.280956248233648	0.18819420626066616
123	tau.SUVR.Schaefer200.ROI.idx.123	1	0.9076643762625172	0.105532339315011	1.4192882615819944	0.36031713179360597
124	tau.SUVR.Schaefer200.ROI.idx.124	1	1.0266596568649284	0.09113156074068685	1.2651932636261896	0.3240097360892228
125	tau.SUVR.Schaefer200.ROI.idx.125	1	1.0384659255644213	0.11129450629790247	1.4519545257551978	0.39300139048004756
126	tau.SUVR.Schaefer200.ROI.idx.126	1	1.1221182836673191	0.10122557196543319	1.5246635384389637	0.38864849318282363
127	tau.SUVR.Schaefer200.ROI.idx.127	1	1.0829682144894461	0.09647200584653774	1.446917358157652	0.34460495768717386
128	tau.SUVR.Schaefer200.ROI.idx.128	1	1.0367897970506896	0.0985451514755762	1.4232851793656167	0.3289997707238667
129	tau.SUVR.Schaefer200.ROI.idx.129	1	1.0872254310179006	0.11006274470487508	1.6931309211386663	0.4181089691668737
130	tau.SUVR.Schaefer200.ROI.idx.130	1	1.004583542787703	0.09617809850459974	1.4487698282778347	0.31520171105081174
131	tau.SUVR.Schaefer200.ROI.idx.131	1	1.2324421265752925	0.10587587347590381	1.8504037581073807	0.5795170422884642
132	tau.SUVR.Schaefer200.ROI.idx.132	1	1.1977886774699966	0.09478737515049893	1.7485325572394645	0.5053208043791196
133	tau.SUVR.Schaefer200.ROI.idx.133	1	1.1636779558552404	0.10625570091337258	1.7560340893993727	0.4961785059897662
134	tau.SUVR.Schaefer200.ROI.idx.134	1	1.0305475408407272	0.10889744580819047	1.4629105858869371	0.4781975507615977
135	tau.SUVR.Schaefer200.ROI.idx.135	1	1.0947933941155334	0.10155551732747853	1.6768167194704608	0.4368535046974851
136	tau.SUVR.Schaefer200.ROI.idx.136	1	1.0594685724153001	0.10858913351759636	1.5904574381058627	0.46728743426213437
137	tau.SUVR.Schaefer200.ROI.idx.137	1	1.06992682392295	0.09374120720878405	1.5938875582638445	0.4486346139686207
138	tau.SUVR.Schaefer200.ROI.idx.138	1	1.1004139893766782	0.10090111649205048	1.6963240474804455	0.4442495345618934
139	tau.SUVR.Schaefer200.ROI.idx.139	1	1.0211662782758024	0.11134724187359667	1.4436188539361432	0.4873778703186404
140	tau.SUVR.Schaefer200.ROI.idx.140	1	0.9776801442078769	0.11554047214184564	1.4549473756110758	0.5078862816212251
141	tau.SUVR.Schaefer200.ROI.idx.141	1	1.0647335461500809	0.09616165443546991	1.6321285878766527	0.5288252412917918
142	tau.SUVR.Schaefer200.ROI.idx.142	1	1.1031218303812018	0.09154940220275494	1.5282792681436406	0.4007293349893873
143	tau.SUVR.Schaefer200.ROI.idx.143	1	1.023605111908786	0.10917866910023837	1.5972741225106077	0.4635605663705289
144	tau.SUVR.Schaefer200.ROI.idx.144	1	1.0802660813185254	0.10698925181206517	1.3285725711667271	0.27494143724331077
145	tau.SUVR.Schaefer200.ROI.idx.145	1	1.0956474158294403	0.09598146154396402	1.3775278910881252	0.3180788378275827
146	tau.SUVR.Schaefer200.ROI.idx.146	1	1.1419127342739512	0.09779631682670421	1.4669307383638392	0.360682554354327
147	tau.SUVR.Schaefer200.ROI.idx.147	1	1.099194223173743	0.10488725739872641	1.553649622952093	0.38512221948025505
148	tau.SUVR.Schaefer200.ROI.idx.148	1	1.1249076168822685	0.11228261368117291	1.5218390363799936	0.4752986866625275
149	tau.SUVR.Schaefer200.ROI.idx.149	1	1.0991679745073641	0.09666307594176722	1.540892361649392	0.3886276707435702
150	tau.SUVR.Schaefer200.ROI.idx.150	1	0.9622234472740143	0.10188380803820775	1.3417791769445526	0.4190464232554994
151	tau.SUVR.Schaefer200.ROI.idx.151	1	1.1167023757767278	0.1172931033587588	1.7153581394559423	0.5452742855083895
152	tau.SUVR.Schaefer200.ROI.idx.152	1	1.1339769359771796	0.1042047316765543	1.6345552291686474	0.45547606639359056
153	tau.SUVR.Schaefer200.ROI.idx.153	1	1.12706831236774	0.10274378947171263	1.780459081799374	0.4857632430054146
154	tau.SUVR.Schaefer200.ROI.idx.154	1	1.1776307018800354	0.11100279229587527	1.5256385092141076	0.3712413784585234
155	tau.SUVR.Schaefer200.ROI.idx.155	1	1.186912380209336	0.10487979094685664	1.5327919741905287	0.382794743374562
156	tau.SUVR.Schaefer200.ROI.idx.156	1	1.1224315650105077	0.09657462407812345	1.4201250513197137	0.405390081917133
157	tau.SUVR.Schaefer200.ROI.idx.157	1	1.2163933421619277	0.11410068450098579	1.569065266425559	0.47580158110705784
158	tau.SUVR.Schaefer200.ROI.idx.158	1	1.180968477220741	0.11902650841674738	1.5605761440256534	0.372419778380611
159	tau.SUVR.Schaefer200.ROI.idx.159	1	1.1390536037215242	0.10669292477032283	1.4779697339270903	0.48573142091104626
160	tau.SUVR.Schaefer200.ROI.idx.160	1	1.0838519707214171	0.11304219777226658	1.5428998935658065	0.39766408286218763
161	tau.SUVR.Schaefer200.ROI.idx.161	1	1.1535968080094081	0.15172398569359133	1.6615471345454194	0.4235775472315397
162	tau.SUVR.Schaefer200.ROI.idx.162	1	1.216243611385177	0.10375583335599041	1.6831947614398226	0.4747627458984287
163	tau.SUVR.Schaefer200.ROI.idx.163	1	1.1131379217375477	0.09824004119024762	1.378603638724567	0.2852222423412178
164	tau.SUVR.Schaefer200.ROI.idx.164	1	1.1885108688854118	0.10231342485321152	1.7150059491316783	0.4595851990909468
165	tau.SUVR.Schaefer200.ROI.idx.165	1	1.1077467973236252	0.10481812524471831	1.7101192668446534	0.5007478927116087
166	tau.SUVR.Schaefer200.ROI.idx.166	1	1.0902404611189231	0.10502315237317324	1.7990568944927336	0.514497557579421
167	tau.SUVR.Schaefer200.ROI.idx.167	1	1.0368190143701863	0.10289600138178268	1.5541689705137884	0.47962943943606096
168	tau.SUVR.Schaefer200.ROI.idx.168	1	1.0784027936004865	0.0901230476598612	1.4836842046296368	0.33515908529493893
169	tau.SUVR.Schaefer200.ROI.idx.169	1	1.1185984552659929	0.09272777740248055	1.5033767216750173	0.3649599590890119
170	tau.SUVR.Schaefer200.ROI.idx.170	1	1.014072102463743	0.13780653944601662	1.0835093776823774	0.44693050246985633
171	tau.SUVR.Schaefer200.ROI.idx.171	1	1.2169872108771125	0.11009271006154785	1.843035309175387	0.5733747233260095
172	tau.SUVR.Schaefer200.ROI.idx.172	1	1.176755261443504	0.09748275862392854	1.778286820972241	0.5509538650053903
173	tau.SUVR.Schaefer200.ROI.idx.173	1	1.0929742424378928	0.1406909147524078	1.7674295450551767	0.5556865262678872
174	tau.SUVR.Schaefer200.ROI.idx.174	1	1.103957925442591	0.12360844802728485	1.7171060766596156	0.5989619048106527
175	tau.SUVR.Schaefer200.ROI.idx.175	1	1.0686377485316785	0.11073209876273796	1.5879465779817308	0.442001925750196
176	tau.SUVR.Schaefer200.ROI.idx.176	1	1.0417395522979853	0.10080647145442674	1.5615673796748706	0.45747139300459294
177	tau.SUVR.Schaefer200.ROI.idx.177	1	1.198611854356537	0.10894696790619289	1.6853306577619411	0.4442863091672978
178	tau.SUVR.Schaefer200.ROI.idx.178	1	1.1400612669423233	0.10814636918867698	1.7998341578369077	0.44330294617751526
179	tau.SUVR.Schaefer200.ROI.idx.179	1	1.010714079449226	0.10567635005202267	1.4946931385946944	0.410022487227593
180	tau.SUVR.Schaefer200.ROI.idx.180	1	1.04144515060376	0.10960470418602374	1.6896360517814464	0.41353109151739886
181	tau.SUVR.Schaefer200.ROI.idx.181	1	1.1580431138821417	0.10950947263079486	1.7268609419719854	0.4962561926968569
182	tau.SUVR.Schaefer200.ROI.idx.182	1	1.1412275121887594	0.10468313493081671	1.6873269015206522	0.5160709325793525
183	tau.SUVR.Schaefer200.ROI.idx.183	1	1.0749880617802037	0.09354298143328174	1.4148771792195218	0.39371689109394425
184	tau.SUVR.Schaefer200.ROI.idx.184	1	1.182437257557972	0.10140616801918827	1.8065600451861301	0.5035805416973078
185	tau.SUVR.Schaefer200.ROI.idx.185	1	1.0921147122460306	0.10499740592810715	1.698283942811635	0.44584261061848174
186	tau.SUVR.Schaefer200.ROI.idx.186	1	1.1766200610716329	0.08938814725944337	1.706177766611114	0.4700208973743388
187	tau.SUVR.Schaefer200.ROI.idx.187	1	1.1566587337621932	0.10765834823775104	1.5747771495504348	0.4817630291734236
188	tau.SUVR.Schaefer200.ROI.idx.188	1	1.0302490226059842	0.12544864347283846	1.3531857045895266	0.6198635373434962
