roi_index	roi_name	n	bic_1g	bic_2g	kept_2g	w	mu_non	sd_non	mu_path	sd_path
16	tau.SUVR.Schaefer200.ROI.idx.16	267	-308.2244144787588	-378.442277376351	1	0.9030727733837831	0.928904534706153	0.08867020316265377	1.1240232838851187	0.27383588666548536
17	tau.SUVR.Schaefer200.ROI.idx.17	267	-169.62064512968848	-267.5475948151878	1	0.9502417142113959	0.9329217000351971	0.11637992763777047	1.4230067221817642	0.3330840735011555
18	tau.SUVR.Schaefer200.ROI.idx.18	267	-106.64873100515865	-320.675641675478	1	0.9196114682740242	0.9754825101159622	0.09338410196005302	1.4215310879382332	0.43097974838136516
19	tau.SUVR.Schaefer200.ROI.idx.19	267	-316.87523495688833	-355.1409755787077	1	0.9301302839393123	0.9554180757463687	0.10004160046742232	1.1551624333300645	0.27371804007599865
20	tau.SUVR.Schaefer200.ROI.idx.20	267	-306.8234311330297	-329.88464596391253	1	0.9107501768072458	0.9365922909475705	0.10390649706267281	1.0907930523659277	0.25989415492944257
21	tau.SUVR.Schaefer200.ROI.idx.21	267	-105.70250264260416	-314.4627448127111	1	0.9152663628476091	1.0342478720391817	0.09355465210435934	1.4251232535131124	0.4600484968349085
22	tau.SUVR.Schaefer200.ROI.idx.22	267	-122.36525198768219	-343.5568731396172	1	0.9221132935056437	1.051094350574155	0.08995568686540774	1.4691561242121374	0.445994302678088
23	tau.SUVR.Schaefer200.ROI.idx.23	267	-235.90426471592758	-367.1896208784794	1	0.8960904393906265	1.0999272491548746	0.08542375815361182	1.3536131576582344	0.3205403910596256
24	tau.SUVR.Schaefer200.ROI.idx.24	267	-192.05275622114314	-350.94023147457165	1	0.9541047581057851	1.0601379357902012	0.09672699088563227	1.6675765819267485	0.2222062054163815
25	tau.SUVR.Schaefer200.ROI.idx.25	267	108.67149943602426	-179.85905530887914	1	0.8910611774819985	1.1285158727484108	0.10951558593369744	1.7933071634033033	0.5314371014459924
26	tau.SUVR.Schaefer200.ROI.idx.26	267	-74.29955979198087	-302.8839381765176	1	0.8893587649136078	1.1229900552474685	0.08912460992051385	1.5347861645394514	0.41176855388763767
27	tau.SUVR.Schaefer200.ROI.idx.27	267	-320.40532206373456	-399.5550112585229	1	0.9690905345585937	1.0168388297454387	0.09493497578145645	1.5001801530966379	0.19536046594368264
28	tau.SUVR.Schaefer200.ROI.idx.28	267	-234.43507267353516	-358.5554700156614	1	0.920523370579853	0.9745617778673603	0.09141412847249131	1.321876338949729	0.29289742445068556
29	tau.SUVR.Schaefer200.ROI.idx.29	267	302.42416327949235	19.68799326436624	1	0.7222209681058188	1.2297752928320402	0.09908948239229916	1.8539733305662833	0.5661288403762498
30	tau.SUVR.Schaefer200.ROI.idx.30	267	339.50884805599446	2.508737634043829	1	0.7880447735380957	1.2318059987733867	0.10980281339379654	1.9625288059150148	0.6922337884546718
31	tau.SUVR.Schaefer200.ROI.idx.31	267	285.56588112170226	-48.254098786795595	1	0.7768350074182301	1.1733921379505299	0.09625176809916731	1.772941812810622	0.64938034097987
32	tau.SUVR.Schaefer200.ROI.idx.32	267	247.30566952293944	-53.7871178631964	1	0.8301659829019247	1.186400479918046	0.11577977523520068	1.9027326646215772	0.5859094624997337
33	tau.SUVR.Schaefer200.ROI.idx.33	267	125.14876531606835	-93.01525850733336	1	0.8167119894360424	1.0411837381793299	0.10980052971956178	1.505532278906165	0.5096135645401749
34	tau.SUVR.Schaefer200.ROI.idx.34	267	107.14125244139392	-121.8661480270354	1	0.8597285270383203	1.0292388970686157	0.11563393817878152	1.5934128217094654	0.4922723176175678
35	tau.SUVR.Schaefer200.ROI.idx.35	267	1.5616092787036937	-253.28364863451807	1	0.8910547837707183	1.088893957457528	0.09686911308138846	1.63453167675117	0.41997943213769273
36	tau.SUVR.Schaefer200.ROI.idx.36	267	47.533008695608665	-234.39679432622384	1	0.8967275038345615	1.100410305688776	0.09963146741963416	1.7251727820368241	0.4619923296324459
37	tau.SUVR.Schaefer200.ROI.idx.37	267	14.375630950340998	-208.31305812765814	1	0.9029101462678623	0.9882773110559667	0.11013301233863167	1.5507107885670652	0.460325153770903
38	tau.SUVR.Schaefer200.ROI.idx.38	267	-39.37399783972052	-212.3557229823232	1	0.890414702146659	0.988266748353062	0.10858930336341403	1.3960409799527793	0.4452649400270197
39	tau.SUVR.Schaefer200.ROI.idx.39	267	90.68856131835457	-216.43526880264744	1	0.8971164210231791	1.0925042862541297	0.10243985858543753	1.8004844584462827	0.47468755936079665
40	tau.SUVR.Schaefer200.ROI.idx.40	267	44.16985832121205	-207.68394527738428	1	0.8937468850076176	1.0897540295668884	0.10597093265504451	1.7033504613051726	0.4388210151664339
41	tau.SUVR.Schaefer200.ROI.idx.41	267	-206.02173247672314	-267.5913167927237	1	0.7896606158699164	1.1073111357850878	0.09439660918525002	1.3083190241398055	0.2409192680180094
42	tau.SUVR.Schaefer200.ROI.idx.42	267	-128.46224424908402	-254.7343468510385	1	0.9040598910992491	1.1942299807854337	0.10800448683049299	1.51883539073605	0.3956725128287471
43	tau.SUVR.Schaefer200.ROI.idx.43	267	-104.68120644026631	-307.24906357508087	1	0.9508140758839548	1.0900060245812497	0.10305716029120585	1.8025809672247144	0.28847982855910237
44	tau.SUVR.Schaefer200.ROI.idx.44	267	-66.54205292114692	-256.02927794892844	1	0.9096728528975341	1.115804908515243	0.10426122320279672	1.5980631273890653	0.40430085297495794
45	tau.SUVR.Schaefer200.ROI.idx.45	267	-111.14389373150951	-278.79471622008504	1	0.9000766528904587	1.1023755726301183	0.09885855273238843	1.4686084394794312	0.40228818815322737
46	tau.SUVR.Schaefer200.ROI.idx.46	267	-69.91710895349468	-251.79287851905215	1	0.9018305493513449	0.9844389054423037	0.1032102868783287	1.388010461133187	0.4421042018283005
47	tau.SUVR.Schaefer200.ROI.idx.47	267	179.49990463562855	-85.3927142886416	1	0.8407841837535621	1.0729263461565197	0.11530517681150938	1.7097969376094042	0.5287048629343833
48	tau.SUVR.Schaefer200.ROI.idx.48	267	14.810030228224223	-215.60129669842846	1	0.897169264529854	1.1191962123622423	0.10662120775755687	1.6433553320144805	0.4811531315113841
49	tau.SUVR.Schaefer200.ROI.idx.49	267	-80.30952990999637	-226.6596117389328	1	0.8615758412800533	1.1808473992510866	0.10226984457061256	1.5062881014888945	0.37936157191465075
50	tau.SUVR.Schaefer200.ROI.idx.50	267	-160.10463146057015	-275.41362798621185	1	0.9268041475404055	1.0922463227929078	0.10902664009622258	1.3797123053619023	0.44051455872142775
